Engg Per,Uni_Grade,Experinece,Interview_Score,No_Patents,Test_Marks,Qualification,Salary
84,4,16,8,1,40,Master,2678000
81,3,1,8,0,40,Master,470000
85,1,1,9,1,45,Master,854000
78,2,0,8,0,40,Ph.D,991000
59,4,18,6,1,30,Master,2657000
71,2,0,7,2,35,Bachelor,904000
64,1,13,6,1,30,Bachelor,1490000
57,3,10,6,0,30,Master,1395000
80,2,5,8,0,40,Master,853000
65,1,15,7,0,35,Bachelor,1558000
76,2,7,8,0,40,Ph.D,1715000
65,1,12,7,1,35,Bachelor,1661000
76,1,19,8,1,40,Ph.D,2851000
83,4,13,8,0,40,Bachelor,2009000
71,1,16,7,2,35,Master,2066000
65,2,18,7,1,35,Ph.D,2938000
53,1,13,5,2,25,Bachelor,2130000
69,4,9,7,0,35,Bachelor,1306000
58,4,5,6,0,30,Bachelor,1042000
57,2,7,6,1,30,Ph.D,1674000
54,4,5,5,2,25,Ph.D,1609000
51,4,0,5,1,25,Bachelor,362000
66,1,9,7,2,35,Bachelor,1566000
69,3,16,7,0,35,Bachelor,1910000
54,1,11,5,0,25,Bachelor,1021000
80,2,18,8,1,40,Master,2615000
70,2,2,7,2,35,Master,1382000
72,3,20,7,2,35,Master,2683000
51,3,15,5,0,25,Bachelor,1741000
68,3,4,7,0,35,Master,653000
68,1,19,7,0,35,Master,1893000
83,4,1,8,2,40,Ph.D,1266000
58,1,16,6,2,30,Master,2565000
50,2,18,5,2,25,Ph.D,2576000
77,1,14,8,1,40,Master,2004000
69,3,2,7,2,35,Bachelor,1114000
81,4,0,8,2,40,Ph.D,1548000
55,2,18,6,0,30,Ph.D,2531000
69,1,13,7,1,35,Bachelor,2091000
70,3,4,7,2,35,Master,1077000
68,3,7,7,2,35,Bachelor,1482000
81,1,18,8,1,40,Bachelor,2486000
61,1,0,6,0,30,Bachelor,657000
71,2,19,7,1,35,Master,2358000
72,3,12,7,1,35,Ph.D,1991000
62,3,8,6,0,30,Bachelor,1281000
66,2,16,7,0,35,Ph.D,2374000
79,2,16,8,1,40,Bachelor,2038000
66,4,4,7,1,35,Ph.D,1340000
73,3,10,7,1,35,Bachelor,1514000
77,3,18,8,0,40,Bachelor,2067000
74,4,12,7,2,35,Bachelor,2620000
66,1,7,7,1,35,Bachelor,1273000
85,1,16,9,0,45,Bachelor,1848000
85,2,4,9,0,45,Master,1059000
60,3,19,6,0,30,Bachelor,1944000
56,3,4,6,1,30,Bachelor,993000
84,1,16,8,1,40,Master,1788000
52,4,8,5,1,25,Ph.D,1777000
59,2,16,6,0,30,Ph.D,2133000
85,4,14,9,1,45,Master,2352000
64,4,13,6,2,30,Ph.D,2726000
56,3,1,6,2,30,Master,1280000
53,2,5,5,0,25,Bachelor,1135000
60,3,2,6,2,30,Bachelor,949000
82,2,12,8,2,40,Ph.D,2330000
78,2,4,8,1,40,Ph.D,1409000
85,2,16,9,0,45,Ph.D,2846000
78,4,17,8,1,40,Ph.D,2890000
75,2,19,8,1,40,Bachelor,2127000
82,2,20,8,2,40,Master,2944000
83,4,9,8,2,40,Ph.D,2465000
78,4,10,8,2,40,Ph.D,2159000
59,2,10,6,1,30,Ph.D,1540000
80,3,12,8,0,40,Ph.D,2044000
83,2,0,8,2,40,Bachelor,495000
64,4,3,6,1,30,Bachelor,628000
63,4,5,6,1,30,Ph.D,1756000
57,2,18,6,0,30,Ph.D,2172000
52,4,15,5,2,25,Bachelor,2538000
66,4,7,7,2,35,Ph.D,1896000
62,1,8,6,2,30,Ph.D,2084000
69,1,11,7,0,35,Ph.D,1849000
52,1,10,5,0,25,Ph.D,1811000
79,2,12,8,0,40,Bachelor,1567000
71,4,0,7,1,35,Master,549000
70,4,5,7,1,35,Master,1591000
71,4,0,7,0,35,Ph.D,735000
50,4,2,5,1,25,Ph.D,1648000
59,1,18,6,1,30,Ph.D,2353000
60,4,14,6,0,30,Master,2384000
58,3,11,6,2,30,Bachelor,1488000
70,3,13,7,2,35,Master,1909000
57,2,10,6,0,30,Ph.D,1531000
52,3,19,5,0,25,Ph.D,2379000
70,4,12,7,2,35,Bachelor,2565000
72,3,10,7,2,35,Ph.D,2204000
74,3,6,7,0,35,Ph.D,1568000
53,4,4,5,1,25,Ph.D,1539000
71,1,10,7,2,35,Bachelor,1807000
82,2,13,8,1,40,Bachelor,1527000
55,3,5,6,2,30,Bachelor,1445000
52,1,13,5,2,25,Bachelor,1800000
71,2,5,7,1,35,Bachelor,749000
78,1,1,8,0,40,Ph.D,560000
59,4,16,6,2,30,Bachelor,2779000
63,4,5,6,1,30,Bachelor,1100000
78,3,10,8,2,40,Bachelor,2227000
73,3,15,7,0,35,Master,2018000
83,4,6,8,2,40,Bachelor,1398000
73,4,1,7,1,35,Ph.D,1610000
80,1,12,8,0,40,Master,1736000
84,2,4,8,1,40,Ph.D,1218000
51,3,2,5,2,25,Bachelor,950000
68,4,7,7,0,35,Bachelor,1468000
52,2,1,5,2,25,Bachelor,904000
50,2,4,5,1,25,Bachelor,675000
71,3,3,7,0,35,Master,823000
58,2,16,6,0,30,Master,2304000
80,3,15,8,2,40,Master,2060000
74,2,12,7,1,35,Ph.D,2154000
68,2,14,7,2,35,Bachelor,2075000
58,2,12,6,2,30,Bachelor,1659000
60,1,8,6,0,30,Master,1366000
74,1,7,7,0,35,Master,987000
56,2,2,6,0,30,Master,308000
56,2,7,6,2,30,Master,1419000
54,3,6,5,2,25,Master,1487000
62,1,20,6,0,30,Master,2199000
77,4,9,8,2,40,Bachelor,1733000
55,4,11,6,2,30,Master,1861000
83,2,0,8,2,40,Bachelor,600000
69,1,4,7,1,35,Bachelor,912000
52,4,13,5,1,25,Master,1781000
54,2,6,5,1,25,Ph.D,1748000
53,1,10,5,1,25,Master,1262000
72,2,17,7,1,35,Bachelor,2146000
57,1,14,6,1,30,Bachelor,1528000
77,4,0,8,0,40,Bachelor,984000
75,1,11,8,2,40,Ph.D,2545000
58,4,13,6,0,30,Master,2073000
62,2,1,6,2,30,Master,656000
73,1,19,7,1,35,Bachelor,2319000
69,1,18,7,0,35,Bachelor,2124000
77,1,10,8,2,40,Master,2058000
78,4,11,8,0,40,Ph.D,2232000
65,2,16,7,2,35,Bachelor,2546000
85,2,3,9,1,45,Bachelor,840000
62,1,20,6,1,30,Ph.D,2618000
58,4,13,6,0,30,Ph.D,2611000
55,4,1,6,2,30,Ph.D,1324000
79,4,11,8,2,40,Bachelor,2545000
85,4,8,9,2,45,Bachelor,1659000
53,4,6,5,2,25,Ph.D,2389000
80,2,14,8,1,40,Ph.D,1978000
61,1,18,6,0,30,Master,2283000
60,3,3,6,1,30,Master,732000
63,3,2,6,1,30,Master,832000
75,2,7,8,2,40,Master,1593000
57,3,19,6,1,30,Master,2326000
69,4,13,7,0,35,Master,2197000
63,4,11,6,0,30,Master,1786000
72,3,20,7,1,35,Master,2831000
72,2,17,7,2,35,Bachelor,2411000
76,1,2,8,2,40,Bachelor,616000
55,1,2,6,0,30,Bachelor,624000
64,3,10,6,0,30,Ph.D,1536000
75,4,19,8,1,40,Ph.D,2779000
54,4,20,5,1,25,Bachelor,2827000
56,1,4,6,1,30,Ph.D,1191000
58,3,4,6,2,30,Bachelor,1504000
66,4,3,7,1,35,Master,894000
62,4,0,6,1,30,Ph.D,783000
55,2,11,6,1,30,Master,1279000
53,4,17,5,0,25,Master,2651000
54,4,3,5,0,25,Master,972000
74,1,14,7,2,35,Bachelor,2301000
79,3,13,8,0,40,Master,1621000
63,3,17,6,2,30,Bachelor,2493000
71,2,13,7,0,35,Ph.D,1889000
82,1,17,8,0,40,Master,2069000
68,3,17,7,1,35,Bachelor,1805000
84,2,0,8,1,40,Master,450000
76,2,14,8,1,40,Ph.D,2352000
65,1,19,7,1,35,Master,2006000
52,3,11,5,2,25,Bachelor,2218000
79,4,4,8,1,40,Master,826000
64,1,6,6,2,30,Ph.D,2110000
75,4,7,8,1,40,Bachelor,1527000
75,1,16,8,1,40,Ph.D,2205000
53,1,5,5,1,25,Master,870000
59,2,15,6,2,30,Ph.D,2863000
61,2,12,6,1,30,Bachelor,1819000
84,4,16,8,0,40,Master,2255000
61,3,16,6,1,30,Bachelor,1811000
62,3,10,6,0,30,Ph.D,2090000
75,4,12,8,2,40,Master,2189000
82,3,8,8,2,40,Bachelor,2071000
83,2,4,8,0,40,Bachelor,741000
68,1,8,7,2,35,Bachelor,1595000
84,1,14,8,0,40,Bachelor,1946000
54,1,4,5,2,25,Ph.D,1232000
74,2,19,7,1,35,Bachelor,2571000
53,1,1,5,2,25,Master,521000
73,1,13,7,2,35,Ph.D,2757000
53,4,12,5,0,25,Ph.D,2044000
71,3,5,7,2,35,Bachelor,1501000
54,2,1,5,0,25,Ph.D,760000
59,2,12,6,2,30,Bachelor,1671000
78,3,17,8,2,40,Master,2318000
83,1,12,8,2,40,Ph.D,2072000
85,1,10,9,2,45,Bachelor,1899000
78,2,7,8,0,40,Bachelor,924000
68,1,1,7,2,35,Ph.D,1674000
51,3,14,5,0,25,Bachelor,1415000
76,2,6,8,2,40,Ph.D,1806000
57,3,19,6,2,30,Master,3109000
59,3,17,6,2,30,Master,2918000
56,3,19,6,2,30,Master,2536000
79,2,1,8,2,40,Bachelor,685000
64,1,2,6,0,30,Ph.D,844000
67,3,4,7,1,35,Bachelor,764000
68,4,10,7,2,35,Bachelor,2127000
59,4,10,6,1,30,Ph.D,1837000
63,4,6,6,1,30,Bachelor,1192000
56,2,4,6,2,30,Bachelor,1225000
50,4,1,5,2,25,Bachelor,1444000
67,4,14,7,0,35,Master,1939000
52,4,0,5,2,25,Bachelor,1064000
55,1,18,6,2,30,Ph.D,3228000
69,2,1,7,0,35,Ph.D,1029000
81,2,9,8,0,40,Ph.D,1591000
56,4,5,6,2,30,Master,1426000
82,1,19,8,0,40,Master,2212000
79,1,13,8,2,40,Master,2116000
63,3,12,6,2,30,Master,2416000
59,2,14,6,0,30,Ph.D,2192000
68,1,17,7,2,35,Master,2441000
75,3,10,8,0,40,Master,1722000
68,2,1,7,1,35,Master,226000
59,2,5,6,1,30,Master,878000
81,4,5,8,2,40,Bachelor,1967000
60,1,10,6,0,30,Ph.D,1728000
79,1,15,8,2,40,Bachelor,2292000
76,1,17,8,1,40,Ph.D,2832000
71,1,4,7,2,35,Ph.D,1339000
80,2,15,8,1,40,Master,2322000
54,3,11,5,1,25,Master,1148000
75,4,20,8,2,40,Bachelor,2980000
61,2,17,6,1,30,Bachelor,1804000
54,3,14,5,0,25,Master,1632000
61,2,17,6,1,30,Ph.D,2804000
84,4,11,8,0,40,Ph.D,2545000
54,3,7,5,0,25,Bachelor,878000
74,3,12,7,2,35,Ph.D,2478000
73,1,20,7,0,35,Bachelor,2318000
68,4,2,7,0,35,Bachelor,826000
81,1,19,8,0,40,Bachelor,2035000
67,2,8,7,0,35,Bachelor,1203000
68,3,19,7,1,35,Ph.D,2549000
85,4,11,9,1,45,Ph.D,2275000
50,2,19,5,2,25,Master,2583000
50,2,1,5,1,25,Master,761000
65,1,8,7,1,35,Ph.D,1391000
61,2,1,6,0,30,Ph.D,1198000
50,3,13,5,1,25,Ph.D,2458000
80,2,8,8,0,40,Ph.D,1537000
72,1,10,7,0,35,Bachelor,1741000
64,3,7,6,1,30,Master,1497000
67,1,0,7,1,35,Master,574000
79,1,0,8,0,40,Master,546000
54,2,11,5,0,25,Master,1520000
,1,17,5,2,25,Master,2749000
78,3,10,8,0,40,Master,1893000
69,2,12,7,2,35,Master,1778000
71,2,5,7,0,35,Master,1150000
71,3,16,7,1,35,Ph.D,2816000
75,4,8,8,2,40,Master,2111000
68,4,18,7,1,35,Master,2628000
82,4,12,8,0,40,Master,1939000
51,4,7,5,1,25,Master,1120000
55,4,9,6,0,30,Ph.D,1763000
78,4,5,8,0,40,Ph.D,1752000
77,4,19,8,2,40,Master,2873000
83,2,8,8,2,40,Ph.D,1788000
65,1,8,7,1,35,Bachelor,1220000
51,4,17,5,2,25,Master,2633000
66,4,17,7,2,35,Master,2560000
84,2,13,8,2,40,Ph.D,2603000
56,3,20,6,0,30,Bachelor,2017000
79,2,16,8,2,40,Bachelor,2784000
79,3,3,8,0,40,Ph.D,1561000
60,2,8,6,0,30,Bachelor,857000
81,3,18,8,1,40,Ph.D,2603000
71,2,11,7,0,35,Ph.D,1690000
71,3,13,7,0,35,Ph.D,2312000
,1,1,5,0,25,Ph.D,557000
85,1,14,9,1,45,Ph.D,2648000
52,1,14,5,0,25,Master,1974000
63,3,18,6,1,30,Bachelor,2201000
82,4,5,8,1,40,Master,1274000
60,3,5,6,0,30,Ph.D,1203000
81,1,18,8,2,40,Ph.D,3122000
51,4,10,5,0,25,Master,1576000
68,2,15,7,0,35,Bachelor,1947000
75,4,7,8,1,40,Ph.D,1645000
53,3,17,5,2,25,Bachelor,2578000
57,1,9,6,2,30,Bachelor,1663000
60,2,9,6,0,30,Bachelor,1565000
52,4,6,5,0,25,Ph.D,1857000
54,3,2,5,0,25,Master,328000
84,4,4,8,2,40,Bachelor,1842000
52,1,2,5,1,25,Master,408000
55,3,8,6,0,30,Ph.D,1557000
84,1,2,8,1,40,Bachelor,905000
71,1,7,7,1,35,Ph.D,1865000
75,1,3,8,0,40,Ph.D,1400000
62,4,16,6,2,30,Bachelor,2396000
52,4,10,5,1,25,Bachelor,1501000
85,4,5,9,2,45,Bachelor,1427000
84,1,10,8,0,40,Bachelor,1077000
78,4,12,8,1,40,Ph.D,2458000
58,2,7,6,1,30,Master,1166000
77,4,19,8,0,40,Bachelor,2422000
78,4,13,8,0,40,Ph.D,2566000
75,3,14,8,1,40,Bachelor,1564000
55,3,9,6,1,30,Bachelor,1514000
53,4,14,5,2,25,Bachelor,2387000
78,2,5,8,0,40,Bachelor,1207000
52,3,6,5,0,25,Bachelor,590000
57,3,12,6,2,30,Ph.D,2380000
80,2,5,8,0,40,Bachelor,1242000
79,2,17,8,2,40,Ph.D,3323000
56,3,7,6,1,30,Bachelor,736000
64,2,5,6,1,30,Master,1146000
57,1,11,6,2,30,Ph.D,2581000
69,1,9,7,2,35,Ph.D,2428000
64,3,16,6,1,30,Ph.D,2600000
66,2,4,7,1,35,Bachelor,520000
80,1,15,8,0,40,Bachelor,1585000
56,2,15,6,0,30,Bachelor,1712000
77,,20,8,0,40,Ph.D,3241000
82,,3,8,2,40,Bachelor,1338000
68,,20,7,2,35,Bachelor,2927000
55,2,12,6,0,30,Master,1817000
72,1,4,7,0,35,Ph.D,1379000
76,4,9,8,2,40,Ph.D,2456000
73,,4,7,0,35,Master,1241000
54,1,9,5,2,25,Bachelor,1925000
66,1,18,7,2,35,Ph.D,3261000
53,2,4,5,0,25,Ph.D,1362000
60,1,13,6,1,30,Ph.D,2083000
75,2,11,8,1,40,Bachelor,1854000
82,,10,8,2,40,Master,2141000
75,2,19,8,0,40,Ph.D,2392000
,4,20,5,1,25,Bachelor,2375000
67,3,1,7,1,35,Ph.D,724000
67,1,2,7,1,35,Ph.D,1173000
53,4,2,5,2,25,Master,911000
79,2,15,8,0,40,Ph.D,2067000
56,3,19,6,2,30,Master,2840000
74,2,4,7,1,35,Ph.D,1507000
64,4,20,6,0,30,Bachelor,2582000
74,3,17,7,1,35,Ph.D,2399000
75,2,2,8,0,40,Ph.D,654000
64,2,9,6,1,30,Ph.D,1917000
57,4,15,6,2,30,Ph.D,3009000
55,3,20,6,1,30,Ph.D,2488000
65,3,16,7,1,35,Ph.D,2449000
68,4,16,7,2,35,Bachelor,2948000
51,3,12,5,0,25,Ph.D,2186000
54,1,2,5,0,25,Ph.D,591000
69,4,6,7,1,35,Master,1359000
56,2,1,6,0,30,Ph.D,977000
67,4,0,7,2,35,Master,863000
58,3,6,6,0,30,Bachelor,847000
71,1,13,7,2,35,Bachelor,1706000
82,4,2,8,0,40,Ph.D,1239000
79,2,10,8,1,40,Master,1219000
51,1,12,5,2,25,Master,2246000
71,3,6,7,0,35,Master,939000
62,2,12,6,1,30,Bachelor,1380000
77,4,15,8,1,40,Master,2629000
58,2,15,6,0,30,Bachelor,2067000
57,2,5,6,1,30,Bachelor,1072000
52,2,2,5,1,25,Master,500000
60,1,13,6,1,30,Master,1766000
67,1,16,7,0,35,Ph.D,2276000
71,1,10,7,0,35,Ph.D,2168000
62,1,15,6,1,30,Ph.D,2032000
50,3,8,5,0,25,Master,1093000
83,2,19,8,2,40,Ph.D,3389000
79,4,5,8,0,40,Ph.D,2020000
78,1,13,8,1,40,Ph.D,2183000
85,3,9,9,1,45,Bachelor,1726000
56,1,5,6,0,30,Bachelor,854000
77,4,2,8,0,40,Bachelor,916000
81,3,6,8,1,40,Bachelor,1379000
51,1,16,5,1,25,Bachelor,1691000
63,4,8,6,2,30,Ph.D,2635000
52,1,18,5,1,25,Master,2123000
77,3,9,8,2,40,Ph.D,2383000
71,1,6,7,0,35,Bachelor,1024000
51,4,1,5,2,25,Master,1073000
62,2,1,6,0,30,Bachelor,498000
,2,11,5,0,25,Ph.D,1779000
81,1,6,8,2,40,Bachelor,1462000
59,2,9,6,1,30,Master,947000
79,2,8,8,1,40,Ph.D,1736000
83,2,11,8,0,40,Master,1908000
65,3,19,7,2,35,Master,2623000
59,3,7,6,2,30,Master,1464000
82,2,1,8,2,40,Master,1338000
56,4,10,6,0,30,Master,1259000
81,4,8,8,1,40,Master,1459000
81,4,11,8,0,40,Master,2133000
67,3,4,7,2,35,Master,1015000
56,2,11,6,0,30,Master,1811000
64,4,16,6,1,30,Ph.D,2754000
59,2,5,6,0,30,Bachelor,854000
53,4,0,5,2,25,Master,622000
76,3,15,8,0,40,Master,1715000
53,1,6,5,0,25,Bachelor,815000
70,2,20,7,2,35,Master,2945000
56,3,3,6,1,30,Ph.D,1092000
542,3,5,5,0,25,Master,952000
62,4,7,6,0,30,Bachelor,1069000
82,4,18,8,1,40,Master,2825000
80,4,19,8,0,40,Master,2786000
67,2,9,7,0,35,Master,1312000
64,1,8,6,2,30,Master,1451000
79,3,8,8,1,40,Bachelor,1471000
58,1,18,6,1,30,Master,2067000
72,2,17,7,1,35,Ph.D,2658000
78,4,9,8,1,40,Master,1925000
54,3,7,5,1,25,Bachelor,788000
69,4,9,7,1,35,Ph.D,2042000
58,4,2,6,0,30,Ph.D,1580000
64,4,15,6,0,30,Bachelor,2493000
76,2,5,8,2,40,Master,1185000
57,4,20,6,2,30,Ph.D,3471000
71,3,20,7,1,35,Ph.D,3295000
56,4,17,6,0,30,Bachelor,2299000
66,1,0,7,1,35,Bachelor,174000
72,4,7,7,0,35,Bachelor,1393000
67,1,11,7,1,35,Master,1431000
68,2,15,7,0,35,Ph.D,2398000
56,2,16,6,2,30,Bachelor,2597000
84,3,18,8,0,40,Bachelor,2568000
,4,7,5,1,25,Bachelor,1465000
63,1,2,6,0,30,Ph.D,1313000
67,1,2,7,1,35,Ph.D,934000
68,1,6,7,0,35,Ph.D,998000
50,1,15,5,2,25,Master,1952000
80,2,10,8,1,40,Master,1174000
68,3,13,7,2,35,Bachelor,1970000
54,1,10,5,2,25,Ph.D,2245000
58,2,7,6,1,30,Master,1431000
71,2,15,7,0,35,Master,1983000
80,2,12,8,0,40,Bachelor,1899000
85,4,14,9,1,45,Master,1880000
64,1,10,6,2,30,Bachelor,1540000
66,4,2,7,2,35,Master,1483000
,2,20,5,0,25,Ph.D,2450000
54,1,6,5,0,25,Bachelor,1157000
84,2,5,8,2,40,Bachelor,1395000
83,1,7,8,1,40,Bachelor,850000
83,2,5,8,1,40,Master,1178000
58,4,18,6,0,30,Master,2073000
50,1,6,5,1,25,Bachelor,1175000
82,2,19,8,2,40,Ph.D,2868000
60,4,10,6,2,30,Bachelor,1657000
73,3,17,7,2,35,Ph.D,2736000
81,1,15,8,0,40,Master,1833000
68,4,16,7,2,35,Ph.D,2714000
53,4,8,5,2,25,Bachelor,1731000
60,3,1,6,1,30,Bachelor,643000
51,2,15,5,0,25,Master,1756000
72,4,12,7,2,35,Bachelor,2188000
67,2,2,7,1,35,Ph.D,791000
84,4,20,8,0,40,Bachelor,2345000
52,4,16,5,1,25,Bachelor,1868000
62,3,15,6,2,30,Master,1947000
83,2,15,8,1,40,Bachelor,1917000
65,1,5,7,2,35,Bachelor,1216000
82,4,4,8,2,40,Bachelor,1645000
70,2,17,7,1,35,Master,2243000
61,4,19,6,2,30,Bachelor,3253000
77,2,4,8,1,40,Bachelor,1002000
53,1,19,5,1,25,Master,2550000
68,1,13,7,1,35,Master,1612000
82,3,19,8,1,40,Ph.D,2977000
53,4,3,5,1,25,Ph.D,1505000
